City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,iringa,-7.7667,35.7,16.71,95,100,1.23,TZ,1702171909
120,kargat,55.1956,80.2811,-25.11,92,100,2.44,RU,1702171909
121,ushuaia,-54.8,-68.3,7.81,81,20,8.75,AR,1702171777
122,laguna,38.421,-121.4238,12.28,70,0,0.0,US,1702171782
123,asha,54.9973,57.2722,-29.34,100,9,1.34,RU,1702171909
124,tofol,5.3248,163.0078,30.88,70,75,7.72,FM,1702171861
125,saipan,15.1355,145.701,30.39,70,20,6.69,MP,1702171513
126,fort mcmurray,56.7268,-111.381,-8.23,79,100,2.06,CA,1702171551
127,east london,-33.0153,27.9116,16.04,87,100,5.1,ZA,1702171509
128,hobyo,5.3505,48.5268,26.59,77,75,8.16,SO,1702171910
129,nova sintra,14.8667,-24.7167,22.6,71,63,3.68,CV,1702171864
130,aykhal,66.0,111.5,-29.79,98,100,2.42,RU,1702171512
131,hermanus,-34.4187,19.2345,15.45,86,3,4.25,ZA,1702171787
132,moshi,-3.35,37.3333,20.38,84,42,1.49,TZ,1702171910
133,kununurra,-15.7667,128.7333,30.99,66,75,2.06,AU,1702171556
134,fort st. john,56.2499,-120.8529,-5.06,68,75,4.63,CA,1702171547
135,guiping,23.3925,110.0814,25.05,74,25,1.55,CN,1702171910
136,st. paul,44.9444,-93.0933,-0.95,90,100,8.75,US,1702171386
137,steinbach,50.1667,8.5667,9.66,88,0,6.17,DE,1702171910
138,viqueque,-8.8673,126.3658,31.01,65,39,2.61,TL,1702171910
139,la'ie,21.6477,-157.9253,28.66,68,0,2.24,US,1702171514
140,alofi,-19.0595,-169.9187,25.94,83,100,4.12,NU,1702171910
141,alpena,45.0617,-83.4327,7.18,73,100,4.12,US,1702171831
142,olonkinbyen,70.9221,-8.7187,-5.93,65,100,4.59,SJ,1702171525
143,talnakh,69.4865,88.3972,-34.52,99,100,3.38,RU,1702171824
144,extrema,-22.8547,-46.3183,17.01,92,87,2.46,BR,1702171911
145,portland,45.5234,-122.6762,6.17,94,100,5.66,US,1702171169
146,ballina,-28.8667,153.5667,29.32,59,1,4.91,AU,1702171911
147,tsiombe,-25.3,45.4833,21.28,87,0,2.57,MG,1702171840
148,mar del plata,-38.0023,-57.5575,18.38,82,100,11.62,AR,1702171454
149,belmonte,-15.8631,-38.8828,24.78,88,14,2.53,BR,1702171912
150,tazacorte,28.629,-17.9293,20.08,79,100,4.63,ES,1702171912
151,ma'rib,15.4591,45.3253,13.14,29,3,1.73,YE,1702171912
152,keetmanshoop,-26.5833,18.1333,16.51,55,0,4.12,NA,1702171912
153,gadzhiyevo,69.2551,33.3362,-14.05,93,76,7.24,RU,1702171784
154,nemuro,43.3236,145.575,3.64,55,91,4.83,JP,1702171829
155,longyearbyen,78.2186,15.6401,-5.09,58,75,7.72,SJ,1702171795
156,melfort,52.8667,-104.6177,-7.93,86,4,3.6,CA,1702171912
157,rucava,56.1585,21.1619,-3.05,96,90,3.07,LV,1702171913
158,bilibino,68.0546,166.4372,-18.28,100,98,0.87,RU,1702171775
159,bamboo flat,11.7,92.7167,25.05,100,20,1.03,IN,1702171520
160,batabano,22.7164,-82.2881,24.34,84,92,2.8,CU,1702171913
161,kerikeri,-35.2268,173.9474,26.06,59,79,0.89,NZ,1702171832
162,hadibu,12.65,54.0333,24.46,76,69,5.29,YE,1702171509
163,jamestown,42.097,-79.2353,14.77,79,100,4.63,US,1702171778
164,vorkuta,67.5,64.0,-24.02,100,100,2.14,RU,1702171550
165,constantia,44.1833,28.65,-1.62,85,83,4.59,RO,1702171590
166,horta,38.5333,-28.6333,18.9,90,100,6.26,PT,1702171827
167,galesong,-5.3166,119.3661,30.01,71,90,1.56,ID,1702171914
168,labrador city,52.9463,-66.9114,-10.05,79,100,2.06,CA,1702171510
169,magadan,59.5667,150.8,-3.59,85,100,8.37,RU,1702171914
170,chonchi,-42.6128,-73.8092,11.56,94,66,1.11,CL,1702171816
171,moussoro,13.6408,16.4901,20.77,17,100,3.83,TD,1702171914
172,uturoa,-16.7333,-151.4333,27.11,80,70,8.22,PF,1702171541
173,rongelap,11.1635,166.8941,27.54,72,84,7.83,MH,1702171847
174,avarua,-21.2078,-159.775,27.03,78,75,11.83,CK,1702171795
175,kudahuvadhoo,2.6708,72.8944,28.26,73,99,2.69,MV,1702171797
176,iqaluit,63.7506,-68.5145,-5.15,86,100,4.12,CA,1702171781
177,jayapura,-2.5333,140.7,29.66,83,52,4.57,ID,1702171895
178,anjozorobe,-18.4,47.8667,17.53,94,93,1.35,MG,1702171915
179,mbala,-8.8402,31.3659,15.92,92,92,1.36,ZM,1702171915
180,el jadid,33.2549,-8.506,17.59,83,3,6.73,MA,1702171915
181,singaraja,-8.112,115.0882,30.46,63,14,1.03,ID,1702171915
182,khandyga,62.6667,135.6,-32.54,98,100,0.91,RU,1702171527
183,shahba,32.8551,36.629,8.46,56,7,2.58,SY,1702171916
184,port hedland,-20.3167,118.5667,30.03,26,6,10.29,AU,1702171791
185,minas de marcona,-15.2119,-75.1103,15.45,79,100,4.64,PE,1702171856
186,touros,-5.1989,-35.4608,26.66,75,51,6.73,BR,1702171754
187,sitka,57.0531,-135.33,3.94,87,100,0.0,US,1702171781
188,rio grande,-32.035,-52.0986,19.97,76,13,8.87,BR,1702171543
189,zilupe,56.3862,28.1217,-7.46,94,100,4.17,LV,1702171916
190,takoradi,4.8845,-1.7554,26.39,85,4,1.64,GH,1702171916
191,crane,31.3974,-102.3501,7.44,45,0,10.37,US,1702171529
192,saynshand,44.8824,110.1163,-17.63,69,100,4.53,MN,1702171917
193,tarauaca,-8.1614,-70.7656,24.19,90,100,0.78,BR,1702171917
194,asau,46.4333,26.4,-6.49,92,7,1.62,RO,1702171542
195,vilyuysk,63.7553,121.6247,-25.14,96,100,3.25,RU,1702171917
196,vanimo,-2.6741,141.3028,29.35,73,100,4.1,PG,1702171555
197,bad lobenstein,50.4493,11.6381,3.45,93,100,5.59,DE,1702171917
198,enewetak,11.3474,162.3373,27.33,80,8,5.99,MH,1702171491
199,quellon,-43.1167,-73.6167,12.08,83,100,3.17,CL,1702171498
200,khanty-mansiysk,61.0042,69.0019,-36.61,61,0,2.0,RU,1702171918
201,rosiorii de vede,44.1167,24.9833,0.73,85,100,0.99,RO,1702171918
202,vila franca do campo,37.7167,-25.4333,19.23,99,100,8.29,PT,1702171489
203,lichuan,30.3,108.85,10.67,92,99,1.62,CN,1702171918
204,al qaryatayn,34.2296,37.2407,10.89,86,94,2.01,SY,1702171918
205,graham,47.0529,-122.2943,5.39,95,100,0.0,US,1702171918
206,saint-leu,-21.15,55.2833,23.48,90,16,0.86,RE,1702171918
207,isangel,-19.55,169.2667,26.24,66,100,8.14,VU,1702171918
208,palikir - national government center,6.9248,158.1611,30.41,74,100,5.14,FM,1702171818
209,port augusta,-32.5,137.7667,18.82,81,100,7.64,AU,1702171919
210,prieska,-29.6641,22.7474,15.13,68,28,3.99,ZA,1702171919
211,kaffrine,14.1059,-15.5508,24.77,15,6,4.37,SN,1702171919
212,ca mau,9.1769,105.15,27.82,76,75,3.3,VN,1702171919
